Date,Open,High,Low,Close,Volume
11/18/2015,181.27,183.77,181.25,183.59,2978994
11/19/2015,183.57,183.92,183.19,183.5,2245763
11/20/2015,184.24,184.88,183.76,184.17,1373094
11/23/2015,184.13,184.76,183.48,183.95,1363192
11/24/2015,182.93,184.6,182.48,184.25,1638104
11/25/2015,184.38,184.53,183.91,184.2,790655
11/27/2015,184.31,184.6,183.76,184.38,932068
11/30/2015,184.67,184.69,183.52,183.64,1616218
12/1/2015,184.28,185.49,184.02,185.41,1889272
12/2/2015,185.37,185.62,183.21,183.46,2084067
12/3/2015,183.82,183.99,180.14,180.84,2839217
12/4/2015,181.35,184.74,181.21,184.39,3022869
12/7/2015,184.12,184.12,182.29,183.24,1826727
12/8/2015,181.61,183.02,181.04,182.07,1794220
12/9/2015,181.48,183.59,179.64,180.69,4689734
12/10/2015,180.88,182.48,180.51,181.11,4255692
12/11/2015,178.91,179.59,177.29,177.5,3214202
12/14/2015,177.83,178.58,175.9,178.58,2834549
12/15/2015,180.16,181.32,179.95,180.44,3959313
12/16/2015,181.64,183.37,180.11,182.97,6629530
12/17/2015,183.42,183.44,180.23,180.3,3226394
12/18/2015,179.39,179.52,176.94,176.94,4722248
12/21/2015,178.33,178.65,177.1,178.52,2246551
12/22/2015,179.4,180.41,178.39,180.12,2510382
12/23/2015,181.23,182.38,181.06,182.28,2357190
12/24/2015,182.13,182.6,181.81,181.97,1213294
12/28/2015,181.33,181.66,180.52,181.58,2764204
12/29/2015,182.86,183.89,182.77,183.6,1820265
12/30/2015,183.39,183.4,182.11,182.24,2627010
12/31/2015,181.6,182.2,180.45,180.45,2481331
1/4/2016,177.39,177.93,175.77,177.92,4344253
1/5/2016,178.16,178.7,177.06,178.23,2986091
1/6/2016,175.63,177.01,174.89,175.98,2854121
1/7/2016,172.92,174.7,171.34,171.69,5012200
1/8/2016,172.74,173.3,169.55,169.87,7621099
1/11/2016,170.89,171.16,168.02,169.89,4654851
1/12/2016,171.58,172.18,169.18,171.29,3105711
1/13/2016,172.24,172.44,166.73,167.11,4273505
1/14/2016,167.76,171.03,166.09,169.82,5264024
1/15/2016,165.26,167.06,164.2,166.2,8377798
1/19/2016,166.36,166.36,166.36,166.36,6074064
1/20/2016,163.69,165.91,160.2,164.41,8885280
1/21/2016,164.87,167.14,163.45,165.21,3111002
1/22/2016,167.99,168.8,167.17,168.6,2703646
1/25/2016,168.05,168.28,165.86,166.03,2855737
1/26/2016,166.86,168.6,166.4,168.34,2345041
1/27/2016,167.86,169.52,165.55,166.43,3670198
1/28/2016,168.08,168.3,165.69,167.34,2710540
1/29/2016,168.29,171.58,168.04,171.58,4613129
2/1/2016,170.48,172.2,169.81,171.42,4061779
2/2/2016,169.76,169.98,167.77,168.31,5284532
2/3/2016,169.38,169.71,165.61,169.3,4006687
2/4/2016,168.88,170.57,168.18,169.51,3690252
2/5/2016,168.97,169.11,165.69,166.34,2457252
2/8/2016,164.39,164.69,161.8,164.04,3524303
2/9/2016,162.35,165.43,162.14,164.09,2445557
2/10/2016,165,166.66,163.82,163.98,2023103
2/11/2016,161.45,162.88,160.29,161.87,3560331
2/12/2016,163.64,165.2,162.86,165.2,1865152
2/16/2016,167.19,167.97,166.08,167.97,2445840
2/17/2016,169.24,171.09,169.05,170.73,2346415
2/18/2016,171.05,171.07,169.7,170,1705320
2/19/2016,169.2,170.09,168.59,169.96,1177776
2/22/2016,171.61,172.55,171.54,172.4,2696558
2/23/2016,171.75,172.02,170.11,170.24,2149997
2/24/2016,168.73,171.29,167.58,171.03,2693253
2/25/2016,171.53,173.08,170.7,173.08,2637561
2/26/2016,173.96,174.12,172.54,172.75,2652820
2/29/2016,172.71,173.71,171.22,171.22,3238189
3/1/2016,172.64,175.45,172.15,175.45,3150160
3/2/2016,175.06,176.21,174.62,176.19,3977276
3/3/2016,175.95,176.86,175.4,176.82,3264443
3/4/2016,177.08,178.25,176.22,177.4,2922255
3/7/2016,176.51,177.99,176.41,177.6,3573311
3/8/2016,176.49,176.96,175.48,175.61,3506025
3/9/2016,176.51,176.85,175.7,176.56,1700069
3/10/2016,177.01,178,174.73,176.65,2165671
3/11/2016,178.16,179.56,178.06,179.53,2311291
3/14/2016,178.96,179.75,178.65,179.25,1463588
3/15/2016,178.29,179.02,178.03,179.02,1372939
3/16/2016,178.47,180.45,178.45,180.09,2797730
3/17/2016,179.95,181.71,179.55,181.23,2007254
3/18/2016,181.82,182.23,181.39,181.92,2717645
3/21/2016,181.66,182.39,181.39,182.18,1582130
3/22/2016,181.37,182.65,181.2,182.09,1567911
3/23/2016,181.66,181.84,180.68,180.92,1683007
3/24/2016,179.79,180.82,179.55,180.8,1931860
3/28/2016,181.24,181.42,180.44,180.92,1309925
3/29/2016,180.51,182.66,180.15,182.66,1653660
3/30/2016,183.59,184.12,183.02,183.43,1965723
3/31/2016,183.28,183.7,182.76,182.97,3099301
4/1/2016,181.88,184.35,181.58,184.17,3062149
4/4/2016,184.14,184.29,183.26,183.59,1296266
4/5/2016,182.19,182.65,181.48,181.73,1790384
4/6/2016,181.87,183.79,181.57,183.7,1912795
4/7/2016,182.61,182.94,180.76,181.54,2708179
4/8/2016,182.75,183.21,181.47,182.04,2105981
4/11/2016,182.7,183.41,181.51,181.56,1395731
4/12/2016,181.77,183.6,181.31,183.33,1639491
4/13/2016,184.27,185.23,184.11,185.17,2031332
4/14/2016,185.22,185.66,184.79,185.15,3312537
4/15/2016,185.18,185.23,184.6,184.94,2122358
4/18/2016,184.38,186.28,184.24,186.28,2416615
4/19/2016,186.68,187.09,185.98,186.83,1682909
4/20/2016,186.91,187.73,186.38,186.99,1686593
4/21/2016,187.01,187.13,185.72,185.95,1869364
4/22/2016,185.65,186.28,185.07,186,1920355
4/25/2016,185.43,185.71,184.73,185.7,2438300
4/26/2016,186.06,186.48,185.5,185.97,1761332
4/27/2016,185.57,186.76,185.18,186.36,2031818
4/28/2016,185.58,186.72,184.24,184.68,1621598
4/29/2016,184.02,184.36,182.49,183.67,2870286
5/2/2016,184.2,185.31,183.75,185.11,1687602
5/3/2016,183.85,184.06,182.72,183.52,2419401
5/4/2016,182.44,183.21,181.94,182.46,2142319
5/5/2016,183.01,183.33,182.04,182.42,1658476
5/6/2016,181.69,183.15,181.48,183.09,1598600
5/9/2016,182.99,183.68,182.8,183.31,1599549
5/10/2016,184.01,185.57,183.94,185.55,1051421
5/11/2016,185.09,185.43,183.8,183.81,2807788
5/12/2016,184.52,184.67,182.8,183.87,1837604
5/13/2016,183.52,184.11,181.93,182.21,1709167
5/16/2016,182.43,184.54,182.38,184.03,1107871
5/17/2016,183.76,184.05,181.81,182.41,3423962
5/18/2016,181.97,183.62,181.26,182.38,1996147
5/19/2016,181.63,182.06,180.49,181.8,1849771
5/20/2016,182.42,183.47,182.35,182.93,1637016
5/23/2016,182.92,183.21,182.47,182.68,1458399
5/24/2016,183.55,185.37,183.5,185.01,2045841
5/25/2016,185.73,186.74,185.71,186.27,2067691
5/26/2016,186.46,186.68,186.02,186.35,1259978
5/27/2016,186.51,187.14,186.48,187.14,1018620
5/31/2016,187.47,187.57,186.22,186.88,2904036
6/1/2016,186.22,187.37,185.97,187.21,2445315
6/2/2016,186.77,187.77,186.26,187.77,1650373
6/3/2016,187.16,187.56,185.93,187.24,1954949
6/6/2016,187.59,188.49,187.43,188.13,1213391
6/7/2016,188.33,189.03,188.29,188.46,1598401
6/8/2016,188.59,189.2,188.46,189.09,1072793
6/9/2016,188.3,188.94,188.03,188.79,1567796
6/10/2016,187.38,187.73,186.44,186.98,1990840
6/13/2016,186.36,187.28,185.48,185.58,2385976
6/14/2016,185.21,185.8,184.2,185.18,2112751
6/15/2016,185.61,186.3,184.74,184.9,1639031
6/16/2016,184,185.68,183.01,185.5,2827869
6/17/2016,185.46,185.46,184.13,184.81,1752689
6/20/2016,186.87,187.56,185.9,185.99,1228474
6/21/2016,186.43,186.92,185.94,186.5,1870565
6/22/2016,186.73,187.48,186.07,186.21,2297231
6/23/2016,187.77,188.66,187.27,188.64,2641705
6/24/2016,182.38,185.15,181.41,181.75,10570870
6/27/2016,180.5,180.5,177.78,178.54,7914080
6/28/2016,180.31,181.85,179.98,181.84,4587858
6/29/2016,183.32,185.19,183.23,184.97,4252463
6/30/2016,185.44,187.5,184.85,187.47,3918641
7/1/2016,187.36,188.36,187.34,187.84,2225870
7/5/2016,187,187.09,185.86,186.53,2288038
7/6/2016,186,187.75,185.28,187.64,2253403
7/7/2016,187.8,188.48,186.72,187.51,1748064
7/8/2016,188.85,190.54,188.63,190.35,2100357
7/11/2016,190.79,191.57,190.59,191.02,3681237
7/12/2016,191.98,192.67,191.74,192.36,2415410
7/13/2016,192.81,192.81,191.83,192.29,2837298
7/14/2016,193.68,193.9,193.01,193.42,3784261
7/15/2016,194.03,194.03,192.69,193.13,2405808
7/18/2016,193.26,193.84,193.02,193.68,1184134
7/19/2016,193.24,193.5,193,193.47,1028670
7/20/2016,194.02,194.52,193.52,194.25,1124325
7/21/2016,194.16,194.4,193.09,193.52,4623785
7/22/2016,193.72,194.46,193.41,194.41,1721449
7/25/2016,194.19,194.26,193.28,193.95,1202273
7/26/2016,193.8,194.34,193.09,193.94,1440864
7/27/2016,194.38,194.42,192.97,193.81,2173775
7/28/2016,193.59,194.3,193.09,194.03,960907
7/29/2016,193.73,194.68,193.43,194.37,1803120
8/1/2016,194.41,194.78,193.68,194.11,2164873
8/2/2016,193.89,194.04,192.02,192.93,4189125
8/3/2016,192.86,193.53,192.53,193.49,2109541
8/4/2016,193.6,194,193.16,193.67,1419763
8/5/2016,194.42,195.28,194.28,195.23,1864576
8/8/2016,195.47,195.56,194.85,195.13,1476423
8/9/2016,195.25,195.78,194.92,195.26,1867154
8/10/2016,195.4,195.45,194.41,194.76,1252177
8/11/2016,195.37,195.94,195.06,195.72,1686611
8/12/2016,195.38,195.75,195.1,195.53,1762417
8/15/2016,195.94,196.44,195.9,196.1,1077821
8/16/2016,195.66,195.71,195.06,195.07,1773113
